ID Réponse,Date,Phase,Type de territoire,Arrondissement / Ville liée,Statut du commerce,Enjeux: Soutien financier?,Enjeux: Maintien des opérations?,Enjeux: Fiscalité (taxes et impôts)?,Enjeux: Ressources humaines?,Enjeux: Réglementation?,Enjeux: Marketing?,Enjeux: Santé et sécurité?,Enjeux: Recherche d'équipement sanitaire?,Enjeux: Aménagement de l'espace?,Enjeux: Permis pour les terrasses extérieures?,Enjeux: Autre?,Intérêt pour le programme d'aide d'urgence?,Présence sur les médias sociaux?,Présence sur Facebook?,Présence sur Twitter?,Présence sur Instagram?,Présence sur LinkedIn?,Faites-vous de la vente en ligne?,Canal de vente en ligne,Connaissez-vous le service de livraison urbaine?,Êtes-vous intéressé par le service de livraison urbaine?,Intérêt pour le programme d'accompagnement pour le virage numérique des entreprises?,Offrez-vous un service de livraison?,Êtes-vous satisfait de votre service de livraison actuel?,Seriez-vous intéressé par le service de livraison urbain (à vélo) mise en place par la Ville de Montréal et ses partenaires si vous si aviez accès?,Est-ce que l'information que nous vous avons donnée vous a été utile?
313,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
314,2020-05-21,1,Arrondissement,Verdun,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
315,2020-05-21,1,Arrondissement,Verdun,Ouvert,,,,Oui,,Oui,Oui,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
316,2020-05-21,1,Arrondissement,Le Sud-Ouest,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Non applicable,Non applicable,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
317,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,,,,,Oui,Oui,,,Oui,Oui,Oui,,,,Non applicable,Non applicable,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
318,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
319,2020-05-21,1,Ville liée,Westmount,Partiellement ouvert,,,,Oui,,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Site transactionnel,Oui,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
320,2020-05-21,1,Ville liée,Westmount,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
321,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
322,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
323,2020-05-21,1,Arrondissement,Le Sud-Ouest,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
324,2020-05-21,1,Arrondissement,Verdun,Partiellement ouvert,Oui,,Oui,,,Oui,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
325,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,,,,,,Non,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
326,2020-05-21,1,Arrondissement,Verdun,Partiellement ouvert,Oui,,Oui,,,Oui,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
327,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,Oui,,,Oui,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
328,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,Oui,,,,,,,Oui,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
329,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
330,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,,,,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
331,2020-05-21,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Réponse inconnue,Réponse inconnue,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
332,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,Oui,,,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
333,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,,,,,Oui,,Oui,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
334,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
335,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,Oui,,Oui,,,Oui,Oui,Oui,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
336,2020-05-21,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
337,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
338,2020-05-21,1,Ville liée,Westmount,Fermé,Oui,,,,,,Oui,Oui,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
339,2020-05-21,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,Oui,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
340,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Je l'utilise déjà,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
341,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,Oui,,,Non,Sans réponse,,,,,Non applicable,Non applicable,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
342,2020-05-22,1,Arrondissement,Le Sud-Ouest,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
343,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
344,2020-05-22,1,Ville liée,Westmount,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
345,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
346,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,Oui,,,Oui,Oui,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
347,2020-05-22,1,Ville liée,Westmount,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
348,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
349,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,Oui,,Oui,,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
350,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
351,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,Oui,,,Oui,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
352,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
353,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Non,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
354,2020-05-22,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non applicable,Non applicable,Non applicable,Non applicable,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
355,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,Oui,,,Oui,,,Sans réponse,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
356,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Oui,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
357,2020-05-22,1,Ville liée,Westmount,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
358,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
359,2020-05-22,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
360,2020-05-22,1,Ville liée,Westmount,Fermé,Oui,,,,Oui,Oui,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
361,2020-05-22,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,Oui,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
362,2020-05-22,1,Arrondissement,Le Sud-Ouest,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
363,2020-05-25,1,Ville liée,Westmount,Fermé,Oui,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
364,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Je l'utilise déjà,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
365,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
366,2020-05-25,1,,,Statut inconnu,,,,,,,,,,,,Non,Sans réponse,,,,,Non applicable,Non applicable,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
367,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
368,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
369,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Sans réponse,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
370,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
371,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
372,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
373,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
374,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
375,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
376,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,Oui,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
377,2020-05-25,1,Arrondissement,Outremont,Partiellement ouvert,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
378,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
379,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
380,2020-05-25,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
381,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
382,2020-05-25,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,Oui,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
383,2020-05-25,1,Arrondissement,Ahuntsic-Cartierville,Statut inconnu,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
384,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
385,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Sans réponse,Oui,Oui,,Oui,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
386,2020-05-25,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
387,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
388,2020-05-25,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,Oui,,,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
389,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,Oui,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
390,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
391,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,,,,Oui,,Oui,,,Non,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non applicable,Non applicable,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
392,2020-05-26,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,,,,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
393,2020-05-26,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
394,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
395,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
396,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
397,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
398,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Oui,Je l'utilise déjà,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
399,2020-05-26,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,Oui,,,,,Oui,Oui,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non applicable,Non applicable,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
400,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,Oui,,,Oui,,,,,,Oui,Oui,,,Oui,,Non,Pas de vente en ligne,Non applicable,Non applicable,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
401,2020-05-26,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Non applicable,Non applicable,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
402,2020-05-26,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
